Geneid,log2FC_direction,fibrosis,metabolism,PPARG,SPI1,MYC,RUNX1,CEBPB,CEBPA,GATA2,STAT5A,FOXO1,IRF8,KLF4,NR1H3,KLF1,MECOM,FLI1,STAT3
Socs1,up,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0
Plau,up,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Marveld1,down,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Ccr1,up,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Angptl4,down,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Ripk2,up,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Jup,down,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1
Csf1,up,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
Hbegf,up,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Ace,down,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dennd2a,down,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1
Gatm,up,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Cdv3,up,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Timp1,up,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Ptpn22,down,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
Fam83f,down,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
Dck,up,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0
Slc25a35,down,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
Tarm1,up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slco2b1,down,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1
Ybx3,up,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1
Dusp9,down,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Sf3a3,up,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0
Ccr2,down,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Serpine1,down,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1
Man2b1,down,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Gm12250,up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tfec,up,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Ung,up,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
Lrg1,up,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Serpina3g,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocstamp,up,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Sfxn3,down,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
Lzts2,down,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
Atf4,up,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0
Srsf1,up,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1
Gm2a,down,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Ifi204,up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifrd1,up,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
Ucp2,down,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0
Rnf19b,up,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
Tnfsf14,up,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1
Zfand5,up,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cebpa,down,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1
Hacd4,down,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
