"","baseMean","log2FoldChange","lfcSE","pvalue","padj","adjusted_padj"
"Lyz2",495631.079776647,-1.28357998476036,0.106035850550143,6.6107504258779e-35,7.65723221829437e-31,1.5133862040329e-28
"Socs1",227.782441368403,1.98399843788273,0.32395539454427,2.89838338160031e-11,1.67859873545382e-07,3.25836330925171e-06
"Plau",798.448830694765,1.38334497268442,0.229243865897611,5.67443693457076e-11,2.19090010043777e-07,4.17006291976806e-06
"Marveld1",2760.17716844828,-0.534651367198022,0.0882796121040863,8.74714365011256e-11,2.53295412248135e-07,4.78042409814625e-06
"Ccr1",3493.15560318,0.728379391009047,0.131732351893522,1.4116876363451e-09,2.89675892294442e-06,4.53526172960928e-05
"Angptl4",3463.27489976213,-0.745963761892995,0.133982004695331,1.50052262260783e-09,2.89675892294442e-06,4.53526172960928e-05
"Ripk2",636.458044215929,0.754090088508548,0.139043578991164,2.64111893178875e-09,4.3702972267013e-06,6.61981193623e-05
"Jup",3789.13009918315,-0.505889338413986,0.092845818477614,3.05610652916438e-09,4.42486024091388e-06,6.6908058658301e-05
"Csf1",454.902762698988,1.54843179464805,0.297315997492371,6.46601196509921e-09,8.32175739908269e-06,0.000119375121810228
"Hbegf",31.3780641264248,2.77856469568695,0.547122049711316,1.37436508691131e-08,1.58779123026448e-05,0.000215037322076276
"Ace",1434.38589818555,-0.747056728791806,0.14551985263127,1.53598589073909e-08,1.58779123026448e-05,0.000215037322076276
"Dennd2a",778.70171026978,-0.570081910408939,0.110982942164635,1.64495335950736e-08,1.58779123026448e-05,0.000215037322076276
"Gatm",520.133304824722,0.608621798476586,0.11965841126911,1.78670940824925e-08,1.59195808275008e-05,0.000215527056399442
"Cdv3",3764.09529245049,0.294558405804012,0.0578639880585512,2.58545856180244e-08,2.1390976086684e-05,0.000280433188341777
"Timp1",181.556747576685,1.50377619642588,0.309624500639258,3.83194252573529e-08,2.95902601837279e-05,0.000376570943664984
"Ptpn22",52.3567130135998,-1.36548412441952,0.281756368874649,6.28173352231475e-08,4.54758246181074e-05,0.000556320393821726
"Fam83f",243.827305968259,-0.906565564089633,0.187543638952667,6.92499477942265e-08,4.71836556059132e-05,0.00057485616277279
"Lyz1",530.843790512345,1.04456088968449,0.224320030871387,1.13954796883833e-07,7.33299117947466e-05,0.000856347191364911
