"","baseMean","log2FoldChange","lfcSE","pvalue","padj","adjusted_padj"
"Chil3",1695127.8152803,-2.41413123859102,0.103070045748498,2.77432618104218e-122,3.58193253234355e-118,3.11492812862667e-114
"Gatm",520.133304824722,-2.58482536855116,0.122000765282938,8.86835895184476e-101,5.72496912136338e-97,2.48928018473681e-93
"Rnf19b",4677.11253207765,-2.07658702368218,0.101635812687987,2.20257324880106e-93,9.47914107175685e-90,3.53283073867677e-86
"Chchd10",1397.12554441624,-3.09393189117586,0.154752785651089,7.15645841573303e-90,2.30992586513823e-86,8.21766626185948e-83
"Derl3",194.534219298096,-3.33774421680879,0.176065173447565,3.82756232545343e-81,9.88353143678586e-78,2.27513079832789e-74
"Sdf2l1",7239.30304601263,-1.85340952723529,0.110275472779325,2.02218495477327e-64,4.35140499184629e-61,5.32136036081002e-58
"P4hb",36112.0231074477,-1.08162129533999,0.0650257807920686,6.13310666046671e-63,9.89806751166071e-60,1.12272775632991e-56
"Got1",1260.44782335868,-1.69087306470481,0.101851097920715,5.47647396928927e-63,9.89806751166071e-60,1.12272775632991e-56
"Plekhf1",197.323672787084,-3.34626107577547,0.203684988974801,1.09905094616351e-61,1.57664964065746e-58,1.60257221786619e-55
"Tarm1",241.064141172723,-5.88617304329903,0.367357128228849,1.09015581698545e-58,1.40750017530991e-55,1.23774616540231e-52
"Pdia4",15722.5308804941,-1.39609212205893,0.0891906315673801,3.21354240821176e-56,3.77182236658382e-53,2.8114804699338e-50
"Ddost",9258.84743533217,-1.0333453353159,0.0669323807577819,6.11120941061391e-55,6.57515205836968e-52,4.51413027193299e-49
"Pygl",12777.5597160246,1.44014759038911,0.0987762804095243,1.63597147660385e-49,1.6247713641871e-46,8.59218618847753e-44
"F10",19707.3339918393,-1.89912184666053,0.131374022639452,2.48002735412823e-48,2.28711665493926e-45,1.14745815458638e-42
"Spp1",10030.1779324243,2.039311341957,0.141762500544015,3.03720970512159e-48,2.61422763352166e-45,1.30321745200768e-42
"Chil4",181.430592057224,-2.88479951445141,0.200662687359648,5.73391230233213e-48,4.62690885846313e-45,2.27754496048098e-42
"Cyc1",3907.11217149893,-1.12138845128315,0.0781243772425045,9.58973642658501e-48,7.28312276491994e-45,3.51864744641496e-42
"Hfe",1917.40045772826,-1.41868241055271,0.0999352895114825,5.78629484483989e-47,4.15038070787376e-44,1.89961226013128e-41
"Rpn1",13572.3743717743,-1.25769340582164,0.0899321150905081,2.21266631645078e-45,1.50356499008926e-42,6.25946901671949e-40
"Slc35b1",2628.24527644836,-1.27367634462967,0.0914721934517154,5.86670103925012e-45,3.78724885588791e-42,1.53581771479235e-39
"Prps1",1852.82924903571,-1.66493597685311,0.120072321416277,9.46167119132073e-45,5.81712555957819e-42,2.31108197485252e-39
"Mtus1",257.909500326992,2.82052611138977,0.205918087680651,1.34151621184481e-43,7.87287082324014e-41,2.99115586335783e-38
"Tbc1d16",1403.86350052806,-2.158332629354,0.158610816370595,3.67159763017049e-43,2.06104334796223e-40,7.68141041293389e-38
"Pgk1",2385.14895055383,-1.36682236408916,0.101955344331701,4.82542827533492e-42,2.59587935261871e-39,9.27712755306193e-37
"Mcam",2276.60702207141,2.26139454182304,0.173712444772075,3.11137027997401e-40,1.60683606738978e-37,5.19672031612927e-35
"Bcat2",2711.56752793576,-1.27448964600834,0.0979987985868121,1.1090466464162e-39,5.50726971226138e-37,1.69697626496004e-34
"Txndc5",5179.99730967521,-1.0988682844985,0.0847296049110103,1.51160976312889e-39,7.22829394509523e-37,2.19275059653807e-34
"Ccl17",4236.85624615594,-5.95209844644165,0.4568920629558,2.48669306630441e-39,1.14663193496629e-36,3.38650169894611e-34
"Pdia5",413.977885782856,-1.93840158461906,0.15015754699948,3.52286410129774e-39,1.56840339351225e-36,4.59747790249548e-34
"Sec61a1",11373.5878513074,-1.09704393845267,0.0849746099629383,3.7545029497618e-39,1.61581291947915e-36,4.7187766401476e-34
"Itm2c",9696.27581889228,-1.11123091435506,0.0861615690224064,8.08747591552462e-39,3.36830327565608e-36,9.76383793231476e-34
"Pdia3",36853.3765353916,-1.03256494277385,0.0804592806600143,1.27530386089236e-38,5.14545254624415e-36,1.45910865574038e-33
"Hsp90b1",54571.46795868,-1.04481391259502,0.0815528890390507,3.35970230656509e-38,1.31445807515339e-35,3.64813389042394e-33
"Rpn2",13864.2336028505,-0.677477843371374,0.0531360311043847,5.77731460091846e-38,2.19385025918995e-35,6.04591142203382e-33
"Ak2",3730.2389584663,-1.33343049589193,0.105659215062273,9.36769013011185e-38,3.45560706485354e-35,9.4235729107257e-33
"Rasgrp4",1067.74087241968,1.63280456336434,0.129838134415347,1.10549707628423e-37,3.9647424310849e-35,1.07744628858087e-32
"Ptgir",2691.93393988827,-2.72245744224009,0.215218201211544,1.5848176817895e-37,5.53015705123897e-35,1.48227147867215e-32
"Calr",62209.5482792881,-0.942735454416467,0.0749808284107013,1.82966734081649e-37,6.21653553612678e-35,1.65490942268877e-32
